smiles,nucleophilicity
CCCC(=[N:1]C)CC,11.08753692
C[O:1]c1ccccc1,-7.552478486
CC(C)C(=[N:1]C)Cc1ccccc1,10.23805806
CC(C)CC(=[O:1])CC(C)(C)C,-3.339502513
CC(C)(C)C(=[O:1])C(C)(C)C,-5.926477772
c1ccc(cc1)C(=[O:1])N,-0.173776817
CC(C)C[O:1]C(C)C,-2.826948485
CC(C)C(=[NH:1])Cc1ccccc1,8.745599555
CC(C)C(=[NH:1])c1ccccc1,9.298066751
CC(C)C[C:1](=[N+]([O-])[O-])C(C)(C)C,15.41994337
CC(=[O:1])CC(C)(C)C,-2.652019751
CCCC(=[O:1])OCc1ccccc1,-3.849918542
[C:1](C(C)(CC)CC)(C#N)=C=[N-],13.301028
CCC[C-:1](C)CC,40.7048766
CC(C)C(=[O:1])C,-2.302674134
CCC[N-:1]C(CC)CC,29.93287924
CC(C)N(C)C(=[O:1])C,0.1744028
CC(C)C(=[O:1])OC(C)C,-3.695457819
CCCN(c1ccccc1)C(=[O:1])CC,0.785800033
CC[C-:1](CC(C)C)[N+]#N,8.044558808
CCCC(=[N:1]c1ccccc1)C,7.355020936
CCNC(=[O:1])C,0.826433911
CCC[N:1]=CCC,9.963937405
CCC(C)[N-:1]C(C(C)C)C(C)C,29.23149094
CC[N:1](C)C(C)(C)C,9.148493372
CC[N:1](CC)Cc1ccccc1,10.02556204
CC(C)C[C:1](=[N+]([O-])[O-])C,16.15738228
CC(C)C[N:1](C)C(C)C,8.932728481
CCC(C(C)C)[C:1](=C=[N-])C(C)C,24.90544975
CC(C)C(C(C)C)[C:1](=[N+]([O-])[O-])C,15.70136364
CC(C)(C)C[C:1](=[N+]([O-])[O-])Cc1ccccc1,15.76159175
CCC(C)[C:1](=[N+]([O-])[O-])C(C)C,15.20268209
CCCN(Cc1ccccc1)C(=[O:1])CC,-2.012775388
CCCC(=[N:1]c1ccccc1)CC,8.192440485
CC(C)C[O:1]C,-3.405581228
CCC(CC)[C:1](=C=[N-])c1ccccc1,18.69778834
CCC(CC)[O:1]C(C(C)C)C(C)C,-1.480711817
CCCC(=[O:1])CC(C)C,-2.587498903
CC[C:1](=C=[N-])c1ccccc1,19.60436655
CCC(=[O:1])C(C(C)C)C(C)C,-3.738964829
C[O:1]C,-3.429840708
CC(C)C[N-:1]C(C(C)C)C(C)C,30.98844346
CC(C)[C-:1](C)C,40.48781563
CC(C)C[NH-:1],30.47845823
CCC(CC)[N-:1]C,30.35037435
CCC(C)(C)[O:1]CC(C)(C)C,-3.687184734
CC(C)[N:1](C)Cc1ccccc1,9.484127646
C[C:1](=C=[N-])C(C)(C)C,26.33209145
CC(C)[C:1](=[N+]([O-])[O-])C(C)C,16.05544251
CCC[C:1](=C(C)[O-])C,23.7237252
CC(C)(C)C[CH-:1][N+]#N,8.453374065
c1ccc(cc1)C[C:1](=C=[N-])c2ccccc2,18.77759305
CCC[NH:1]C(C)C,10.44308271
CCCC(=[CH2:1])[O-],22.3572293
CC(=[CH:1]c1ccccc1)[O-],17.92170048
CCC(CC)C(=[O:1])CC,-2.190221645
CC(C)C(=[O:1])N(C)C,-0.08753712
CCC[C:1](=C=[N-])C(C)CC,25.24839523
CC(C)C(C(C)C)[O:1]C(C)C,-3.982598865
[C:1](CC(C)(C)C)(C#N)=C=[N-],11.24164344
CC(C)C(=[O:1])c1ccccc1,-3.982936676
CC(C)C[N-:1]C,30.27033072
